stc_id,entity_type,entity_text,entity_length,token_count,start_pos,end_pos
PKS_001.001.026.007,NUM,2,1,1,26,26
PKS_001.001.026.007,NUM,30 m,4,2,38,39
PKS_001.001.026.007,NUM,40 m,4,2,41,42
PKS_001.001.026.007,LOC,Núi Đọ,6,2,44,45
PKS_001.001.026.008,PER,Người vượn,10,2,14,15
PKS_001.001.026.009,TITLE,Khảo cổ,7,2,3,4
PKS_001.001.026.009,NUM,3,1,1,41,41
PKS_001.001.026.009,NUM,8,1,1,43,43
PKS_001.001.027.001,PER,Người Núi Độ,15,3,9,11
PKS_001.001.027.004,LOC,Núi Độ,8,2,3,4
PKS_001.001.027.004,NUM,30 vạn,7,2,38,39
PKS_001.001.027.005,LOC,Núi Độ,8,2,2,3
PKS_001.001.027.005,PER,Người vườn,12,2,17,18
PKS_001.001.027.010,LOC,Núi Độ,8,2,1,2
PKS_001.001.027.010,NUM,3 km,4,2,4,5
PKS_001.001.027.010,LOC,núi Quan Yên,13,3,10,12
PKS_001.001.027.010,LOC,Định Công,10,2,21,22
PKS_001.001.027.010,LOC,huyện Thiêu Yên,16,3,24,26
PKS_001.001.027.010,LOC,sông Mã,8,2,32,33
PKS_001.001.027.010,LOC,sông Cầu Chày,15,3,35,37
PKS_001.001.027.011,LOC,Núi Độ,8,2,1,2
PKS_001.001.027.011,NUM,"3,5 km",6,2,3,4
PKS_001.001.027.011,LOC,Núi Nuông,10,2,9,10
PKS_001.001.027.011,LOC,Công Thành,11,2,21,22
PKS_001.001.027.011,LOC,Thiêu Yên,9,2,25,26
PKS_001.001.027.011,LOC,Thanh Hóa,10,2,28,29
PKS_001.001.027.013,LOC,núi Quan Yên,13,3,9,11
PKS_001.001.027.013,LOC,Núi Nuông,10,2,13,14
PKS_001.001.027.013,LOC,Núi Độ,8,2,33,34
PKS_001.001.027.015,LOC,Núi Độ,8,2,4,5
PKS_001.001.027.015,LOC,Quan Yên,8,2,7,8
PKS_001.001.027.015,LOC,Núi Nuông,10,2,10,11
PKS_001.001.028.001,LOC,miền Đông Nam Bộ,16,4,6,9
PKS_001.001.028.001,LOC,Xuân Lộc,8,2,11,12
PKS_001.001.028.001,LOC,Hàng Gòn VI,11,3,14,16
PKS_001.001.028.001,LOC,Dầu Giây,8,2,18,19
PKS_001.001.028.001,LOC,Pháp,4,1,25,25
PKS_001.001.028.001,PER,E.Saurin,8,1,28,28
PKS_001.001.028.001,TME,những năm 1968-1971,19,3,32,34
PKS_001.001.028.001,TME,năm 1975 đến nay,16,4,37,40
PKS_001.001.028.001,NUM,14,2,1,48,48
PKS_001.001.028.001,LOC,Xuân Lộc,8,2,54,55
PKS_001.001.028.001,LOC,Thống Nhất,10,2,57,58
PKS_001.001.028.001,LOC,Tân Phú,7,2,60,61
PKS_001.001.028.001,LOC,Đồng Nai,8,2,63,64
PKS_001.001.028.001,LOC,An Lộc,6,2,66,67
PKS_001.001.028.001,LOC,Bình Phước,10,2,69,70
PKS_001.001.028.002,LOC,Xuân Lộc,8,2,2,3
PKS_001.001.028.002,LOC,Nam Bộ,6,2,17,18
PKS_001.001.028.003,NUM,4,1,1,7,7
PKS_001.001.028.003,NUM,2,1,1,10,10
PKS_001.001.028.003,NUM,3,1,1,13,13
PKS_001.001.028.003,NUM,2,1,1,18,18
PKS_001.001.028.003,NUM,3,1,1,20,20
PKS_001.001.028.003,NUM,5,1,1,27,27
PKS_001.001.028.004,LOC,Hàng Gòn VI,11,3,26,28
PKS_001.001.028.004,LOC,Gia Tân,7,2,30,31
PKS_001.001.028.006,LOC,Núi Đọ,6,2,26,27
PKS_001.001.028.007,LOC,Núi Đọ,6,2,15,16
PKS_001.001.028.008,NUM,250.000 - 300.000,17,3,9,11
PKS_001.001.028.009,NUM,4,1,1,15,15
PKS_001.001.028.010,LOC,miền Đông Nam Bộ,16,4,16,19
PKS_001.001.028.011,LOC,Nam Bộ,6,2,26,27
PKS_001.001.028.012,TME,Năm 2000,8,2,0,1
PKS_001.001.028.012,TITLE,Khảo cổ học,11,3,5,7
PKS_001.001.028.012,LOC,Sa Thầy,7,2,23,24
PKS_001.001.028.012,LOC,Kon Tum,7,2,28,29
PKS_001.001.028.013,TME,tháng 7-8 năm 2001,18,4,7,10
PKS_001.001.028.013,NUM,12.000 m2,9,2,15,16
PKS_001.001.028.013,LOC,Yaly,4,1,21,21
PKS_001.001.029.002,LOC,Đồng Nai,8,2,23,24
PKS_001.001.029.002,LOC,Trường Sơn,10,2,40,41
PKS_001.001.029.002,LOC,Sa Thầy,7,2,44,45
PKS_001.001.029.002,LOC,Yaly,4,1,47,47
PKS_001.001.029.003,LOC,Nam Bộ,6,2,17,18
PKS_001.001.029.004,PER,Người vượn,10,2,8,9
PKS_001.001.029.004,PER,Người vượn,10,2,17,18
PKS_001.001.029.005,PER,Người vượn,10,2,2,3
PKS_001.001.029.005,PER,Homo Erectus,12,2,5,6
PKS_001.001.029.005,LOC,Thẩm Hai,8,2,11,12
PKS_001.001.029.005,LOC,Thẩm Khuyên,11,2,14,15
PKS_001.001.029.005,NUM,200,3,1,20,20
PKS_001.001.029.005,LOC,Tân Văn,7,2,31,32
PKS_001.001.029.005,LOC,Bình Gia,8,2,35,36
PKS_001.001.029.005,LOC,Lạng Sơn,8,2,38,39
PKS_001.001.029.005,TME,năm 1964 - 1965,15,4,45,48
PKS_001.001.029.005,NUM,10,2,1,51,51
PKS_001.001.029.005,LOC,Thẩm Hai,8,2,58,59
PKS_001.001.029.005,NUM,1,1,1,60,60
PKS_001.001.029.005,LOC,Thẩm Khuyên,11,2,62,63
PKS_001.001.029.005,NUM,9,1,1,64,64
PKS_001.001.029.005,TME,Cánh Tân,8,2,82,83
PKS_001.001.029.005,TME,Pleistocene,11,1,85,85
PKS_001.001.029.007,PER,Người vượn,10,2,8,9
PKS_001.001.029.008,PER,Người vượn Bắc Kinh,19,4,12,15
PKS_001.001.029.009,LOC,Thâm Khuycn,11,2,8,9
PKS_001.001.029.009,LOC,Thâm I lai,10,3,11,13
PKS_001.001.029.009,PER,Người vượn,10,2,25,26
PKS_001.001.029.009,PER,Homo Erectus,12,2,28,29
PKS_001.001.029.010,NUM,401 ±51,7,2,17,18
PKS_001.001.029.010,NUM,534 ± 87,8,3,22,24
PKS_001.001.029.011,PER,Người vượn,10,2,5,6
PKS_001.001.029.011,PER,Người vượn,10,2,18,19
PKS_001.001.030.001,PER,Người vượn,10,2,11,12
PKS_001.001.030.002,PER,Người vượn,10,2,5,6
PKS_001.001.030.002,LOC,Việt Nam,8,2,8,9
PKS_001.001.030.002,TME,thời Cánh Tân,13,3,19,21
PKS_001.001.030.002,PER,Người vượn,10,2,23,24
PKS_001.001.030.002,LOC,Bắc,3,1,32,32
PKS_001.001.030.002,LOC,Nam,3,1,34,34
PKS_001.001.030.003,NUM,vài chục,8,2,9,10
PKS_001.001.030.011,PER,Người vượn,10,2,6,7
PKS_001.001.030.011,LOC,Núi Đọ,6,2,9,10
PKS_001.001.030.011,LOC,Xuân Lộc,8,2,12,13
PKS_001.001.030.011,LOC,Sa Thầy,7,2,15,16
PKS_001.001.030.011,LOC,Yaly,4,1,18,18
PKS_001.001.030.011,LOC,Thẩm Khuyên,11,2,39,40
PKS_001.001.030.011,LOC,Thẩm Hai,8,2,42,43
PKS_001.001.030.011,LOC,Việt Nam,8,2,65,66
PKS_001.001.030.012,LOC,SƠN VI,6,2,11,12
PKS_001.001.030.013,PER,Người tinh khôn,15,3,3,5
PKS_001.001.030.014,LOC,Thẩm Ôm,7,2,8,9
PKS_001.001.030.014,LOC,Châu Thuận,10,2,12,13
PKS_001.001.030.014,LOC,Quỳ Châu,8,2,16,17
PKS_001.001.030.014,LOC,Nghệ An,7,2,19,20
PKS_001.001.030.014,NUM,3,1,1,24,24
PKS_001.001.030.014,NUM,5,1,1,27,27
PKS_001.001.030.014,LOC,Thẩm Òm,7,2,65,66
PKS_001.001.030.014,LOC,Việt Nam,8,2,85,86
PKS_001.001.031.001,LOC,Hùm,3,1,2,2
PKS_001.001.031.001,LOC,Đồng Tâm,8,2,5,6
PKS_001.001.031.001,LOC,Lục Yên,7,2,9,10
PKS_001.001.031.001,LOC,Yên Bái,7,2,12,13
PKS_001.001.031.001,TME,năm 1966,8,2,15,16
PKS_001.001.031.001,NUM,1,1,1,33,33
PKS_001.001.031.001,NUM,2,1,1,38,38
PKS_001.001.031.002,PER,Người hiện đại,14,3,7,9
PKS_001.001.031.002,LOC,nước ta,7,2,13,14
PKS_001.001.031.003,LOC,hang Hùm,8,2,12,13
PKS_001.001.031.003,NUM,8,1,1,19,19
PKS_001.001.031.003,NUM,14,2,1,21,21
PKS_001.001.031.004,LOC,Thung Lang,10,2,2,3
PKS_001.001.031.004,LOC,Ninh Bình,9,2,6,7
PKS_001.001.031.004,LOC,Soi Nhụ,7,2,10,11
PKS_001.001.031.004,LOC,Quảng Ninh,10,2,15,16
PKS_001.001.031.004,PER,Người tinh khôn,15,3,24,26
PKS_001.001.031.005,LOC,Kéo Lèng,8,2,2,3
PKS_001.001.031.005,LOC,Tô Hiệu,7,2,6,7
PKS_001.001.031.005,LOC,Bình Gia,8,2,10,11
PKS_001.001.031.005,LOC,Lạng Sơn,8,2,13,14
PKS_001.001.031.005,NUM,2,1,1,18,18
PKS_001.001.031.005,NUM,30.000 năm,10,2,37,38
PKS_001.001.031.007,TITLE,Khảo cổ học,11,3,7,9
PKS_001.001.031.007,LOC,Việt Nam,8,2,24,25
PKS_001.001.031.008,LOC,Sơn Vi,6,2,3,4
PKS_001.001.031.009,TME,năm 1965,8,2,13,14
PKS_001.001.031.009,LOC,Sơn Vi,6,2,17,18
PKS_001.001.031.009,LOC,Phong Châu,10,2,21,22
PKS_001.001.031.009,LOC,Phú Thọ,7,2,24,25
PKS_001.001.031.010,LOC,Sơn Vi,6,2,3,4
PKS_001.001.031.010,TME,năm 1971,8,2,9,10
PKS_001.001.031.010,LOC,Sơn Vi,6,2,37,38
PKS_001.001.031.011,LOC,Lâm Thao,8,2,20,21
PKS_001.001.031.011,LOC,Tam Nông,8,2,23,24
PKS_001.001.031.011,LOC,Cẩm Khê,7,2,26,27
PKS_001.001.031.011,LOC,Phù Ninh,8,2,29,30
PKS_001.001.031.011,LOC,Phú Thọ,7,2,32,33
PKS_001.001.031.011,LOC,Lai Châu,8,2,40,41
PKS_001.001.031.011,LOC,Sơn La,6,2,43,44
PKS_001.001.031.011,LOC,Hà Giang,8,2,46,47
PKS_001.001.031.011,LOC,Yên Bái,7,2,49,50
PKS_001.001.031.011,LOC,Hòa Bình,8,2,52,53
PKS_001.001.031.011,LOC,Hà Tây,6,2,55,56
PKS_001.001.031.011,LOC,Hà Nội,6,2,58,59
PKS_001.001.031.011,LOC,Vĩnh Phúc,9,2,61,62
PKS_001.001.031.011,LOC,Bắc Ninh,8,2,64,65
PKS_001.001.031.011,LOC,Bắc Giang,9,2,67,68
PKS_001.001.031.011,LOC,Thanh Hóa,9,2,70,71
PKS_001.001.031.011,LOC,Nghệ An,7,2,73,74
PKS_001.001.031.011,LOC,Quảng Trị,9,2,76,77
PKS_001.001.031.011,TITLE,Khảo cổ học,11,3,84,86
PKS_001.001.031.011,NUM,180,3,1,91,91
PKS_001.001.032.001,NUM,10%,3,1,15,15
PKS_001.001.032.002,LOC,Sơn Vi,6,2,2,3
PKS_001.001.032.002,LOC,sông Hồng,9,2,16,17
PKS_001.001.032.002,LOC,sông Lục Nam,12,3,21,23
PKS_001.001.032.002,LOC,sông Lô,7,2,25,26
PKS_001.001.032.002,LOC,sông Đà,7,2,28,29
PKS_001.001.032.002,LOC,sông Hiếu,9,2,33,34
PKS_001.001.032.003,PER,Người Sơn Vi,12,3,4,6
PKS_001.001.032.005,LOC,Sơn Vi,6,2,3,4
PKS_001.001.032.006,LOC,Sơn Vi,6,2,5,6
PKS_001.001.032.009,LOC,Sơn Vi,6,2,3,4
PKS_001.001.032.010,LOC,Quác-dít,8,1,13,13
PKS_001.001.032.013,PER,Người Sơn Vi,12,3,0,2
PKS_001.001.032.015,PER,Người Sơn Vi,12,3,6,8
PKS_001.001.032.017,LOC,rừng,4,1,6,6
PKS_001.001.032.017,LOC,sông,4,1,8,8
PKS_001.001.032.017,LOC,suối,4,1,10,10
PKS_001.001.032.019,PER,Người Sơn Vi,12,3,8,10
PKS_001.001.032.020,LOC,Hang Nậm Tun,12,3,0,2
PKS_001.001.032.020,LOC,Phong Thổ,9,2,4,5
PKS_001.001.032.020,LOC,Lai Châu,8,2,7,8
PKS_001.001.032.020,PER,Người Sơn Vi,12,3,23,25
PKS_001.001.033.002,NUM,hai,3,1,3,3
PKS_001.001.033.002,PER,Người,5,1,30,30
PKS_001.001.033.002,NUM,18.000,6,1,37,37
PKS_001.001.033.003,LOC,Con Moong,9,2,2,3
PKS_001.001.033.003,LOC,Cẩm Thủy,8,2,6,7
PKS_001.001.033.003,LOC,Thanh Hóa,9,2,9,10
PKS_001.001.033.004,LOC,Con Moong,9,2,10,11
PKS_001.001.033.005,LOC,Sơn Vi,6,2,10,11
PKS_001.001.033.005,LOC,Con Moong,9,2,14,15
PKS_001.001.033.005,NUM,11.755 ± 75,11,3,17,19
PKS_001.001.033.005,NUM,11.840 ± 75,11,3,21,23
PKS_001.001.033.005,NUM,11.000 ± 185,12,3,26,28
PKS_001.001.033.006,NUM,18.000,6,1,17,17
PKS_001.001.033.006,NUM,11.000,6,1,19,19
PKS_001.001.033.007,TITLE,Người,5,1,11,11
PKS_001.001.033.009,LOC,Hồng,4,1,23,23
PKS_001.001.033.009,LOC,Thương,6,1,26,26
PKS_001.001.033.009,LOC,Hiếu,4,1,29,29
PKS_001.001.033.010,PER,Người Sơn Vi,12,3,3,5
PKS_001.001.033.011,LOC,Sơn Vi,6,2,11,12
PKS_001.001.033.012,LOC,THỊ TỘC HÒA BÌNH,16,4,2,5
PKS_001.001.033.012,LOC,VĂN HÓA HÒA BÌNH,16,4,7,10
PKS_001.001.033.013,LOC,Con Moong,9,2,2,3
PKS_001.001.033.014,LOC,Hòa Bình,8,2,7,8
PKS_001.001.034.002,LOC,Hòa Bình,8,2,6,7
PKS_001.001.034.002,LOC,Sơn Vi,6,2,20,21
PKS_001.001.034.003,NUM,130,3,1,11,11
PKS_001.001.034.004,NUM,117,3,1,4,4
PKS_001.001.034.005,LOC,Hòa Bình,8,2,4,5
PKS_001.001.034.005,LOC,Lai Châu,8,2,13,14
PKS_001.001.034.005,LOC,Sơn La,6,2,16,17
PKS_001.001.034.005,LOC,Quảng Ninh,10,2,19,20
PKS_001.001.034.005,LOC,Hà Tây,6,2,22,23
PKS_001.001.034.005,LOC,Thái Nguyên,11,2,25,26
PKS_001.001.034.005,LOC,Ninh Bình,9,2,28,29
PKS_001.001.034.005,LOC,Hà Nam,6,2,31,32
PKS_001.001.034.005,LOC,Nghệ An,7,2,34,35
PKS_001.001.034.005,LOC,Hà Tĩnh,7,2,37,38
PKS_001.001.034.005,LOC,Quảng Bình,10,2,40,41
PKS_001.001.034.005,LOC,Quảng Trị,9,2,43,44
PKS_001.001.034.006,LOC,Hòa Bình,8,2,7,8
PKS_001.001.034.006,NUM,72,2,1,10,10
PKS_001.001.034.006,LOC,Thanh Hóa,9,2,14,15
PKS_001.001.034.006,NUM,32,2,1,17,17
PKS_001.001.034.007,LOC,Hòa Bình,8,2,5,6
PKS_001.001.034.007,NUM,3,1,1,21,21
PKS_001.001.034.007,NUM,4,1,1,23,23
PKS_001.001.034.007,NUM,9,1,1,29,29
PKS_001.001.034.007,NUM,10,2,1,31,31
PKS_001.001.034.009,NUM,chục,4,1,10,10
PKS_001.001.034.010,NUM,200m,4,1,6,6
PKS_001.001.034.011,LOC,Hòa Bình,8,2,16,17
PKS_001.001.034.014,NUM,vài,3,1,10,10
PKS_001.001.034.014,LOC,Hòa Bình,8,2,15,16
PKS_001.001.034.016,LOC,Hòa Bình,8,2,13,14
PKS_001.001.034.017,TME,Ngày nay,8,2,0,1
PKS_001.001.035.013,LOC,Hòa Bình,8,2,7,8
PKS_001.001.035.013,LOC,Đông,4,1,16,16
PKS_001.001.035.013,LOC,Đông Nam,8,2,18,19
PKS_001.001.035.013,LOC,Tây Bắc,7,2,21,22
PKS_001.001.035.014,PER,Người,5,1,0,0
PKS_001.001.035.014,LOC,Bắc,3,1,9,9
PKS_001.001.035.016,LOC,Đông Bắc,8,2,10,11
PKS_001.001.035.016,LOC,Đông Nam,8,2,20,21
PKS_001.001.035.016,TME,Xuân,4,1,23,23
PKS_001.001.035.016,TME,Hè,2,1,25,25
PKS_001.001.035.018,LOC,Người Hòa Bình,14,3,0,2
PKS_001.001.036.003,LOC,Đồng Nội,8,2,2,3
PKS_001.001.036.003,LOC,Hòa Bình,8,2,5,6
PKS_001.001.036.003,NUM,3,1,1,26,26
PKS_001.001.036.004,LOC,Kim Bảng,8,2,4,5
PKS_001.001.036.004,LOC,Làng Bon,8,2,7,8
PKS_001.001.036.004,LOC,Lam Gan,7,2,10,11
PKS_001.001.036.004,LOC,Yên Lạc,7,2,13,14
PKS_001.001.036.006,LOC,Xóm Trại,8,2,2,3
PKS_001.001.036.007,LOC,Hòa Bình,8,2,16,17
PKS_001.001.036.011,LOC,Hòa Bình,8,2,14,15
PKS_001.001.036.017,NUM,3,1,1,13,13
PKS_001.001.036.017,LOC,Đắng,4,1,18,18
PKS_001.001.036.017,NUM,5,1,1,20,20
PKS_001.001.036.017,LOC,Mộc Long,8,2,26,27
PKS_001.001.036.017,LOC,Cúc Phương,10,2,30,31
PKS_001.001.036.018,LOC,Làng Gạo,8,2,2,3
PKS_001.001.036.018,LOC,Hòa Bình,8,2,5,6
PKS_001.001.036.018,NUM,20,2,1,9,9
PKS_001.001.037.001,NUM,25,2,1,19,19
PKS_001.001.037.002,LOC,Hòa Bình,8,2,10,11
PKS_001.001.037.003,LOC,Làng Gạo,8,2,5,6
PKS_001.001.037.004,LOC,Hòa Bình,8,2,10,11
PKS_001.001.037.008,LOC,Hòa Bình,8,2,12,13
PKS_001.001.037.009,LOC,Hòa Bình,8,2,6,7
PKS_001.001.037.010,TME,năm 1927,8,2,10,11
PKS_001.001.037.010,LOC,Pháp,4,1,15,15
PKS_001.001.037.010,PER,M.Colani,8,1,18,18
PKS_001.001.037.010,LOC,Hòa Bình,8,2,27,28
PKS_001.001.037.011,NUM,130,3,1,4,4
PKS_001.001.037.013,LOC,Làng Bon,8,2,2,3
PKS_001.001.037.013,LOC,Thanh Hóa,9,2,5,6
PKS_001.001.037.013,NUM,"3,7 m",5,2,12,13
PKS_001.001.037.013,NUM,2.378,5,1,17,17
PKS_001.001.037.014,LOC,Hòa Bình,8,2,3,4
PKS_001.001.038.005,LOC,sông,4,1,11,11
PKS_001.001.038.005,LOC,suối,4,1,14,14
PKS_001.001.038.010,LOC,Hòa Bình,8,2,3,4
PKS_001.001.038.013,LOC,Hòa Bình,8,2,3,4
PKS_001.001.038.013,LOC,Hòa Bình,8,2,18,19
PKS_001.001.038.014,LOC,Hòa Bình,8,2,6,7
PKS_001.001.038.016,LOC,Ma,2,1,2,2
PKS_001.001.038.016,LOC,Thái Lan,8,2,4,5
PKS_001.001.038.017,LOC,Sũng Sàm,8,2,2,3
PKS_001.001.038.017,LOC,Hòa Bình,8,2,5,6
PKS_001.001.038.017,LOC,Thẩm Khương,11,2,9,10
PKS_001.001.038.017,LOC,Lai Châu,8,2,12,13
PKS_001.001.038.018,LOC,Hòa Bình,8,2,11,12
PKS_001.001.038.020,LOC,Hòa Bình,8,2,40,41
PKS_001.001.038.021,LOC,Đông Nam Á,10,3,31,33
PKS_001.001.039.001,LOC,Việt Nam,8,2,15,16
PKS_001.001.039.004,LOC,Hòa Bình,8,2,4,5
PKS_001.001.039.007,NUM,C14,3,1,13,13
PKS_001.001.039.007,LOC,Sũng Sàm,8,2,16,17
PKS_001.001.039.007,LOC,Việt Nam,8,2,19,20
PKS_001.001.039.007,NUM,11.365,6,1,21,21
PKS_001.001.039.007,NUM,80,2,1,23,23
PKS_001.001.039.008,LOC,Đắng,4,1,14,14
PKS_001.001.039.008,LOC,Quốc gia Cúc Phương,19,4,18,21
PKS_001.001.039.008,NUM,7.665 ± 65,10,3,23,25
PKS_001.001.039.009,LOC,Văn hóa Hòa Bình,16,4,0,3
PKS_001.001.039.009,LOC,Văn hóa Tiền sử Đông Nam Á,26,7,10,16
PKS_001.001.039.011,LOC,Việt Nam,8,2,15,16
PKS_001.001.039.011,LOC,Ban Kao,7,2,18,19
PKS_001.001.039.011,LOC,Thái Lan,8,2,21,22
PKS_001.001.039.011,LOC,Mial,4,1,24,24
PKS_001.001.039.011,LOC,Kalimantan,10,1,26,26
PKS_001.001.039.011,LOC,Hòa Bình,8,2,38,39
PKS_001.001.039.011,LOC,Bắc Sơn,7,2,41,42
PKS_001.001.039.012,LOC,Việt Nam,8,2,16,17
PKS_001.001.039.013,LOC,Bắc Sơn,7,2,6,7
PKS_001.001.039.013,LOC,Đa Bút,6,2,11,12
PKS_001.001.039.013,LOC,Quỳnh Văn,9,2,14,15
PKS_001.001.039.013,LOC,Đắc San,7,2,18,19
PKS_001.001.039.013,LOC,Hòa Bình,8,2,27,28
PKS_001.001.039.014,LOC,Hòa Bình,8,2,20,21
PKS_001.001.039.015,LOC,Bắc Sơn,7,2,17,18
PKS_001.001.039.015,LOC,Lạng Sơn,8,2,20,21
PKS_001.001.039.016,LOC,Lạng Sơn,8,2,11,12
PKS_001.001.039.016,LOC,Thái Nguyên,11,2,14,15
PKS_001.001.039.016,LOC,Ninh Bình,9,2,27,28
PKS_001.001.039.016,LOC,Hà Nam,6,2,30,31
PKS_001.001.039.016,LOC,Thanh Hóa,9,2,33,34
PKS_001.001.039.016,LOC,Nghệ An,7,2,36,37
PKS_001.001.039.016,LOC,Hà Tĩnh,7,2,39,40
PKS_001.001.039.016,LOC,Bình,4,1,42,42
PKS_001.001.040.001,LOC,Hòa Bình,8,2,5,6
PKS_001.001.040.001,LOC,Bắc Sơn,7,2,11,12
PKS_001.001.040.001,NUM,500 km2,7,2,34,35
PKS_001.001.040.001,LOC,Bắc Sơn,7,2,40,41
PKS_001.001.040.001,LOC,Hòa Bình,8,2,48,49
PKS_001.001.040.004,LOC,Bắc Sơn,7,2,3,4
PKS_001.001.040.004,LOC,Sơn Vi,6,2,18,19
PKS_001.001.040.004,LOC,Hòa Bình,8,2,21,22
PKS_001.001.040.005,LOC,Bắc Sơn,7,2,4,5
PKS_001.001.040.005,LOC,Hòa Bình,8,2,14,15
PKS_001.001.040.006,LOC,Bắc Sơn,7,2,24,25
PKS_001.001.040.006,LOC,Hòa Bình,8,2,37,38
PKS_001.001.040.008,LOC,Bắc Sơn,7,2,1,2
PKS_001.001.040.009,LOC,Bắc Sơn,7,2,8,9
PKS_001.001.040.011,LOC,Bắc Sơn,7,2,3,4
PKS_001.001.040.011,NUM,1 vạn,5,2,14,15
PKS_001.001.040.013,LOC,nước ta,7,2,26,27
PKS_001.001.040.014,LOC,Bắc Sơn,7,2,6,7
PKS_001.001.040.015,LOC,Bắc Sơn,7,2,4,5
PKS_001.001.040.016,LOC,vùng núi,8,2,16,17
PKS_001.001.041.002,LOC,Bắc Sơn,7,2,1,2
PKS_001.001.041.003,LOC,Làng Cườm,9,2,2,3
PKS_001.001.041.003,LOC,Lạng Sơn,8,2,5,6
PKS_001.001.041.003,NUM,3 m,3,2,14,15
PKS_001.001.041.005,LOC,Bắc Sơn,7,2,5,6
PKS_001.001.041.006,LOC,Bắc Sơn,7,2,8,9
PKS_001.001.041.007,LOC,Bắc Sơn,7,2,2,3
PKS_001.001.041.009,LOC,Bắc Sơn,7,2,2,3
PKS_001.001.041.010,LOC,Bắc Sơn,7,2,5,6
PKS_001.001.041.013,LOC,Bắc Sơn,7,2,18,19
PKS_001.001.041.014,LOC,Bắc Sơn,7,2,10,11
PKS_001.001.041.015,LOC,Bắc Sơn,7,2,3,4
PKS_001.001.041.017,LOC,Bắc Sơn,7,2,25,26
PKS_001.001.041.018,LOC,Bắc Sơn,7,2,4,5
PKS_001.001.041.019,LOC,Bình Gia,8,2,21,22
PKS_001.001.041.019,LOC,Lạng Sơn,8,2,24,25
PKS_001.001.042.001,PER,Người Bắc Sơn,13,3,0,2
PKS_001.001.042.001,LOC,Hòa Bình,8,2,14,15
PKS_001.001.042.002,LOC,Bắc Sơn,7,2,5,6
PKS_001.001.042.003,LOC,Bắc Sơn,7,2,15,16
PKS_001.001.042.004,TITLE,khoa học,8,2,19,20
PKS_001.001.042.006,LOC,Bắc Sơn,7,2,1,2
PKS_001.001.042.008,LOC,Làng Cườm,9,2,2,3
PKS_001.001.042.008,LOC,Lạng Sơn,8,2,5,6
PKS_001.001.042.008,NUM,80 - 100,8,3,20,22
PKS_001.001.042.010,LOC,Bắc Sơn,7,2,2,3
PKS_001.001.042.010,LOC,Hòa Bình,8,2,12,13
